id,file,date,algorithm,initialization,centroids (k),fuzzy weight (m),stopping_criterion,init_time,algorithm_time,iteration
TEST01,data/affitti30.csv,2020/06/13 01:39:15,fuzzy-cmeans,random,5,3,biggest-diff,0.21616744995117188,68.57785439491272,16
TEST01,data/affitti30.csv,2020/06/13 01:41:24,fuzzy-cmeans,random,5,2,biggest-diff,0.21616744995117188,129.32596635818481,30
TEST01,data/affitti70.csv,2020/06/13 01:44:08,kmeans,random,3,-,biggest-diff,0.4913053512573242,163.21813893318176,41
TEST01,data/affitti70.csv,2020/06/13 01:46:59,fuzzy-cmeans,random,3,1.5,biggest-diff,0.4913053512573242,170.24035906791687,28
TEST01,data/affitti70.csv,2020/06/13 01:48:18,fuzzy-cmeans,random,3,3,biggest-diff,0.4913053512573242,79.75736618041992,13
TEST01,data/affitti70.csv,2020/06/13 01:50:38,fuzzy-cmeans,random,3,2,biggest-diff,0.4913053512573242,139.51675629615784,23
TEST01,data/affitti70.csv,2020/06/13 01:52:25,kmeans,random,4,-,biggest-diff,0.49565911293029785,106.81545948982239,26
TEST01,data/affitti70.csv,2020/06/13 01:58:15,fuzzy-cmeans,random,4,1.5,biggest-diff,0.49565911293029785,349.65722703933716,50
TEST01,data/affitti70.csv,2020/06/13 02:00:00,fuzzy-cmeans,random,4,3,biggest-diff,0.49565911293029785,105.40522933006287,15
TEST01,data/affitti70.csv,2020/06/13 02:03:16,fuzzy-cmeans,random,4,2,biggest-diff,0.49565911293029785,196.04777789115906,28
TEST01,data/affitti70.csv,2020/06/13 02:06:43,kmeans,random,5,-,biggest-diff,0.4869575500488281,206.60585832595825,50*
TEST01,data/affitti70.csv,2020/06/13 02:13:24,fuzzy-cmeans,random,5,1.5,biggest-diff,0.4869575500488281,400.7642240524292,50*
TEST01,data/affitti70.csv,2020/06/13 02:15:09,fuzzy-cmeans,random,5,3,biggest-diff,0.4869575500488281,104.96390128135681,13
TEST01,data/affitti70.csv,2020/06/13 02:18:21,fuzzy-cmeans,random,5,2,biggest-diff,0.4869575500488281,191.95855021476746,24
TEST01,data/affitti115.csv,2020/06/13 02:22:23,kmeans,random,3,-,biggest-diff,0.6414227485656738,241.55165195465088,50*
